months,princeston_precip
1948-01,103.125824
1948-02,46.08504
1948-03,178.94878
1948-04,34.54918
1948-05,20.969467
1948-06,0.0
1948-07,0.0
1948-08,0.0
1948-09,3.1045084
1948-10,53.760864
1948-11,94.272545
1948-12,67.38052
1949-01,156.89937
1949-02,48.61557
1949-03,69.73729
1949-04,0.33196723
1949-05,0.038114753
1949-06,2.0102458
1949-07,0.0
1949-08,0.0
1949-09,0.9159836
1949-10,9.973361
1949-11,44.637295
1949-12,82.35328
1950-01,60.062496
1950-02,43.199184
1950-03,3.7415981
1950-04,34.8873
1950-05,6.7526636
1950-06,0.0
1950-07,0.0
1950-08,0.0
1950-09,3.4918032
1950-10,4.3959017
1950-11,60.73771
1950-12,130.07295
1951-01,71.61128
1951-02,0.17213115
1951-03,108.60165
1951-04,28.069672
1951-05,16.0209
1951-06,0.0
1951-07,0.0
1951-08,0.69877046
1951-09,1.1680328
1951-10,53.284424
1951-11,60.030735
1951-12,52.06475
1952-01,49.485657
1952-02,39.084633
1952-03,17.069057
1952-04,2.2008195
1952-05,3.4049182
1952-06,2.034836
1952-07,0.0
1952-08,0.0
1952-09,1.9610656
1952-10,29.875616
1952-11,46.653687
1952-12,196.5832
1953-01,130.29529
1953-02,130.57869
1953-03,84.46864
1953-04,39.89754
1953-05,11.777457
1953-06,0.0
1953-07,0.0
1953-08,0.0
1953-09,0.0
1953-10,14.432787
1953-11,73.7459
1953-12,67.80615
1954-01,132.76003
1954-02,50.388523
1954-03,29.76127
1954-04,17.305328
1954-05,1.9057376
1954-06,0.006147541
1954-07,0.0
1954-08,0.0
1954-09,0.006147541
1954-10,5.6409836
1954-11,113.385254
1954-12,210.16475
1955-01,151.3283
1955-02,192.33362
1955-03,120.65861
1955-04,25.579918
1955-05,12.285655
1955-06,3.4733608
1955-07,0.0
1955-08,0.0
1955-09,0.0
1955-10,29.964548
1955-11,67.61066
1955-12,131.64203
1956-01,56.4543
1956-02,86.090775
1956-03,12.342829
1956-04,8.065573
1956-05,3.709836
1956-06,0.0
1956-07,0.0
1956-08,0.0
1956-09,13.266394
1956-10,11.561475
1956-11,48.590164
1956-12,149.7211
1957-01,86.76824
1957-02,112.47048
1957-03,63.765987
1957-04,0.3319672
1957-05,1.6706966
1957-06,0.0
1957-07,0.0
1957-08,0.0
1957-09,2.9016395
1957-10,32.600822
1957-11,46.438526
1957-12,28.154099
1958-01,219.84592
1958-02,20.667213
1958-03,15.093442
1958-04,6.0430336
1958-05,0.006352459
1958-06,0.15983605
1958-07,0.0
1958-08,0.0
1958-09,38.26844
1958-10,63.213314
1958-11,38.92008
1958-12,168.25124
1959-01,97.561066
1959-02,59.448357
1959-03,77.627045
1959-04,16.352459
1959-05,6.072951
1959-06,0.24590164
1959-07,0.0
1959-08,0.20327869
1959-09,0.0
1959-10,8.328074
1959-11,23.489756
1959-12,109.173355
1960-01,77.455536
1960-02,54.024384
1960-03,44.035244
1960-04,16.672132
1960-05,1.3086066
1960-06,0.8053279
1960-07,0.0
1960-08,0.0
1960-09,7.997951
1960-10,3.4938526
1960-11,112.27254
1960-12,138.29303
1961-01,71.249176
1961-02,87.167206
1961-03,80.18074
1961-04,53.78484
1961-05,10.481558
1961-06,9.209018
1961-07,0.0
1961-08,0.019057376
1961-09,0.0
1961-10,0.5907787
1961-11,39.485653
1961-12,10.240164
1962-01,53.30984
1962-02,23.02541
1962-03,19.895905
1962-04,36.270496
1962-05,0.95922136
1962-06,0.0
1962-07,0.0
1962-08,0.0
1962-09,4.9241805
1962-10,0.0
1962-11,108.43648
1962-12,95.59181
1963-01,111.13628
1963-02,5.5426226
1963-03,14.4709015
1963-04,65.766396
1963-05,3.531967
1963-06,3.0676231
1963-07,0.0
1963-08,0.0
1963-09,0.7008196
1963-10,18.841394
1963-11,32.643444
1963-12,99.04755
1964-01,64.579094
1964-02,20.264341
1964-03,3.792418
1964-04,1.9795082
1964-05,0.0
1964-06,0.0
1964-07,0.0
1964-08,0.0
1964-09,0.0
1964-10,37.30164
1964-11,83.15778
1964-12,66.230736
1965-01,82.42951
1965-02,9.863115
1965-03,0.9846312
1965-04,8.563524
1965-05,0.56536883
1965-06,0.0
1965-07,0.0
1965-08,0.0
1965-09,7.3524585
1965-10,4.5928283
1965-11,94.05123
1965-12,10.475204
1966-01,54.26906
1966-02,85.16476
1966-03,8.563114
1966-04,0.0
1966-05,4.9739757
1966-06,2.3483608
1966-07,0.0
1966-08,0.0
1966-09,10.930327
1966-10,14.680534
1966-11,61.54303
1966-12,95.03279
1967-01,237.58197
1967-02,146.09344
1967-03,2.8204918
1967-04,17.82787
1967-05,0.0
1967-06,0.0
1967-07,0.0
1967-08,0.0
1967-09,0.0
1967-10,4.878689
1967-11,44.465164
1967-12,22.335247
1968-01,33.229713
1968-02,45.056965
1968-03,37.4414
1968-04,55.579918
1968-05,33.363117
1968-06,0.0
1968-07,0.0
1968-08,0.0
1968-09,0.14754099
1968-10,4.872336
1968-11,88.85656
1968-12,77.1125
1969-01,40.465164
1969-02,53.34918
1969-03,193.04488
1969-04,15.110655
1969-05,5.342418
1969-06,0.0
1969-07,0.0
1969-08,0.0
1969-09,40.15574
1969-10,67.037506
1969-11,56.61886
1969-12,76.858406
1970-01,1.010041
1970-02,72.67377
1970-03,7.0956964
1970-04,29.655737
1970-05,0.0
1970-06,4.8012295
1970-07,0.0
1970-08,0.0
1970-09,0.0
1970-10,17.723362
1970-11,55.57377
1970-12,129.97131
1971-01,151.01065
1971-02,14.969672
1971-03,11.771107
1971-04,24.719263
1971-05,7.1655736
1971-06,0.0
1971-07,0.0
1971-08,0.0
1971-09,13.868852
1971-10,60.513523
1971-11,82.17418
1971-12,41.7166
1972-01,268.14365
1972-02,45.324387
1972-03,64.00103
1972-04,3.3012297
1972-05,5.634631
1972-06,0.0
1972-07,0.0
1972-08,0.0
1972-09,11.139344
1972-10,19.641804
1972-11,20.625002
1972-12,42.301025
1973-01,82.25165
1973-02,21.883606
1973-03,9.179302
1973-04,13.346312
1973-05,3.6018443
1973-06,0.036885247
1973-07,0.0
1973-08,0.0
1973-09,32.57582
1973-10,33.91578
1973-11,29.286884
1973-12,119.40716
1974-01,124.787704
1974-02,56.803276
1974-03,31.20963
1974-04,30.295084
1974-05,3.5510247
1974-06,0.0
1974-07,0.0
1974-08,0.0
1974-09,63.58402
1974-10,0.0
1974-11,94.49386
1974-12,78.97376
1975-01,137.67685
1975-02,65.105736
1975-03,30.631557
1975-04,40.573772
1975-05,22.976845
1975-06,0.0
1975-07,0.0
1975-08,0.0
1975-09,0.0
1975-10,0.0
1975-11,54.842213
1975-12,182.42355
1976-01,64.68074
1976-02,92.08688
1976-03,97.60553
1976-04,20.022543
1976-05,19.495697
1976-06,0.0
1976-07,0.0
1976-08,0.0
1976-09,24.67623
1976-10,31.539957
1976-11,59.29918
1976-12,30.193237
1977-01,64.73791
1977-02,123.808205
1977-03,141.98381
1977-04,0.0
1977-05,0.8258197
1977-06,0.0
1977-07,0.0
1977-08,5.317008
1977-09,54.467216
1977-10,8.226435
1977-11,46.99795
1977-12,163.74734
1978-01,217.80676
1978-02,70.44755
1978-03,24.584015
1978-04,15.977458
1978-05,4.7897544
1978-06,0.0
1978-07,0.0
1978-08,0.0
1978-09,34.143444
1978-10,74.97807
1978-11,66.940575
1978-12,63.581764
1979-01,80.94302
1979-02,14.986886
1979-03,61.745903
1979-04,3.1045082
1979-05,0.019057376
1979-06,0.0
1979-07,0.0
1979-08,0.0
1979-09,0.0
1979-10,70.969666
1979-11,54.30738
1979-12,68.24447
1980-01,103.43073
1980-02,150.30676
1980-03,17.628075
1980-04,3.946721
1980-05,0.0
1980-06,0.0
1980-07,0.0
1980-08,0.0
1980-09,22.383198
1980-10,5.2725415
1980-11,115.6168
1980-12,28.865574
1981-01,221.08463
1981-02,57.147545
1981-03,45.013523
1981-04,25.481556
1981-05,0.09528689
1981-06,0.0
1981-07,0.0
1981-08,0.0
1981-09,0.0
1981-10,13.168648
1981-11,35.471313
1981-12,43.438114
1982-01,33.80143
1982-02,26.123772
1982-03,1.4864753
1982-04,5.8340163
1982-05,17.35492
1982-06,0.0
1982-07,0.0
1982-08,0.0
1982-09,0.3504098
1982-10,64.66168
1982-11,23.680328
1982-12,21.102869
1983-01,26.121313
1983-02,15.245082
1983-03,56.68299
1983-04,28.032785
1983-05,4.3069677
1983-06,0.670082
1983-07,0.0
1983-08,0.0
1983-09,0.11680328
1983-10,4.9866805
1983-11,55.395493
1983-12,47.22418
1984-01,30.81578
1984-02,20.727867
1984-03,103.13852
1984-04,14.938524
1984-05,0.17786884
1984-06,0.0
1984-07,0.0
1984-08,0.0
1984-09,3.7315576
1984-10,36.361477
1984-11,72.67008
1984-12,82.72807
1985-01,88.08955
1985-02,41.345898
1985-03,22.373363
1985-04,0.0
1985-05,0.019057376
1985-06,0.0
1985-07,0.0
1985-08,0.0
1985-09,3.2028685
1985-10,50.120903
1985-11,4.0143447
1985-12,79.78054
1986-01,15.080738
1986-02,39.22869
1986-03,13.708607
1986-04,75.590164
1986-05,0.019057376
1986-06,0.0
1986-07,0.0
1986-08,0.0
1986-09,2.7295082
1986-10,68.67008
1986-11,93.07377
1986-12,53.506756
1987-01,41.208405
1987-02,32.297543
1987-03,42.78381
1987-04,1.7827867
1987-05,0.019057378
1987-06,0.0
1987-07,0.0
1987-08,0.0
1987-09,2.2438524
1987-10,9.388935
1987-11,26.465162
1987-12,231.1088
1988-01,89.15675
1988-02,183.41907
1988-03,151.90637
1988-04,27.46721
1988-05,0.057172127
1988-06,0.0
1988-07,0.0
1988-08,1.6135244
1988-09,15.172132
1988-10,56.015987
1988-11,12.577868
1988-12,70.09303
1989-01,72.05595
1989-02,67.00492
1989-03,26.254713
1989-04,45.424183
1989-05,0.0
1989-06,0.20286883
1989-07,0.0
1989-08,0.0
1989-09,0.0
1989-10,13.854713
1989-11,62.760246
1989-12,25.28914
1990-01,76.76947
1990-02,33.376232
1990-03,48.240578
1990-04,16.24795
1990-05,2.2106557
1990-06,0.0
1990-07,0.0
1990-08,0.0
1990-09,0.018442623
1990-10,1.1688524
1990-11,28.592215
1990-12,115.030334
1991-01,130.32706
1991-02,74.079506
1991-03,76.648766
1991-04,0.0
1991-05,0.0
1991-06,0.0
1991-07,0.0
1991-08,0.0
1991-09,0.0
1991-10,10.195697
1991-11,35.40369
1991-12,53.20819
1992-01,71.03955
1992-02,11.4038925
1992-03,62.36209
1992-04,2.889344
1992-05,0.0
1992-06,0.0
1992-07,0.0
1992-08,0.0
1992-09,0.0
1992-10,34.474796
1992-11,20.379099
1992-12,126.85226
1993-01,59.89734
1993-02,26.818031
1993-03,0.0
1993-04,23.514345
1993-05,0.0
1993-06,0.0
1993-07,0.0
1993-08,0.0
1993-09,1.9364753
1993-10,8.181968
1993-11,84.63934
1993-12,98.27254
1994-01,153.342
1994-02,98.06312
1994-03,2.9094265
1994-04,0.0
1994-05,0.7686476
1994-06,0.0
1994-07,0.0
1994-08,0.0
1994-09,0.0
1994-10,16.516394
1994-11,40.26639
1994-12,47.332172
1995-01,82.48033
1995-02,76.644264
1995-03,92.05983
1995-04,3.4487708
1995-05,19.55922
1995-06,0.0
1995-07,0.0
1995-08,0.0
1995-09,0.52868855
1995-10,1.6135247
1995-11,118.48156
1995-12,76.66783
1996-01,217.10164
1996-02,90.54181
1996-03,9.846312
1996-04,0.76229507
1996-05,3.8432379
1996-06,0.0
1996-07,0.0
1996-08,0.0
1996-09,3.1413934
1996-10,10.17664
1996-11,85.43238
1996-12,73.49795
1997-01,51.245285
1997-02,17.528688
1997-03,101.60758
1997-04,11.870901
1997-05,1.8612705
1997-06,0.0
1997-07,0.0
1997-08,0.0
1997-09,25.15574
1997-10,10.646723
1997-11,68.55122
1997-12,65.125404
1998-01,129.86967
1998-02,27.65
1998-03,33.81414
1998-04,3.0676231
1998-05,0.05717213
1998-06,0.0
1998-07,0.0
1998-08,0.0
1998-09,6.9098363
1998-10,11.351843
1998-11,91.73975
