months,princeston_precip
1948-01,81.17807
1948-02,87.55266
1948-03,152.75757
1948-04,43.432377
1948-05,18.911272
1948-06,0.0
1948-07,0.0
1948-08,0.0
1948-09,1.0389344
1948-10,42.898155
1948-11,68.8832
1948-12,60.76127
1949-01,166.4916
1949-02,31.05246
1949-03,66.561066
1949-04,0.0
1949-05,1.010041
1949-06,0.0
1949-07,0.0
1949-08,0.0
1949-09,0.12295081
1949-10,13.130531
1949-11,24.90369
1949-12,96.31598
1950-01,47.268646
1950-02,46.43524
1950-03,3.004713
1950-04,13.690573
1950-05,6.7336063
1950-06,0.0
1950-07,0.0
1950-08,0.0
1950-09,0.52868855
1950-10,2.2741802
1950-11,78.215164
1950-12,152.59242
1951-01,95.46475
1951-02,5.508197
1951-03,98.4377
1951-04,25.616804
1951-05,12.469877
1951-06,0.0
1951-07,0.0
1951-08,0.0
1951-09,0.12909834
1951-10,47.03996
1951-11,49.616802
1951-12,49.657173
1952-01,61.19959
1952-02,73.62315
1952-03,15.582583
1952-04,0.46721315
1952-05,1.2577869
1952-06,0.0
1952-07,0.0
1952-08,0.0
1952-09,0.07377049
1952-10,26.540573
1952-11,60.06762
1952-12,194.05492
1953-01,99.73996
1953-02,126.48197
1953-03,115.27807
1953-04,59.163937
1953-05,22.068441
1953-06,0.0
1953-07,0.0
1953-08,0.0
1953-09,0.0
1953-10,18.015574
1953-11,39.762295
1953-12,52.452255
1954-01,68.466805
1954-02,39.81967
1954-03,12.292008
1954-04,31.30328
1954-05,4.0338116
1954-06,0.0
1954-07,0.0
1954-08,0.0
1954-09,0.0
1954-10,17.3041
1954-11,53.901638
1954-12,194.51866
1955-01,131.55307
1955-02,203.44754
1955-03,152.0334
1955-04,18.430326
1955-05,7.5340166
1955-06,2.8770492
1955-07,0.0
1955-08,0.0
1955-09,0.0
1955-10,19.648155
1955-11,69.30738
1955-12,109.008194
1956-01,44.378273
1956-02,67.40123
1956-03,37.009422
1956-04,17.864754
1956-05,5.056557
1956-06,0.0
1956-07,0.0
1956-08,0.0
1956-09,15.061475
1956-10,10.945288
1956-11,41.293034
1956-12,120.2838
1957-01,22.487705
1957-02,167.46638
1957-03,62.27951
1957-04,0.33196723
1957-05,1.8676229
1957-06,0.0
1957-07,0.0
1957-08,0.0
1957-09,1.4938524
1957-10,28.452663
1957-11,51.94058
1957-12,34.58279
1958-01,200.90286
1958-02,28.757378
1958-03,16.09078
1958-04,15.497951
1958-05,0.5336065
1958-06,0.0
1958-07,0.0
1958-08,0.0
1958-09,21.288933
1958-10,53.259018
1958-11,39.42418
1958-12,195.1285
1959-01,100.692825
1959-02,50.61229
1959-03,55.476025
1959-04,9.959016
1959-05,10.506968
1959-06,0.0
1959-07,0.0
1959-08,0.0
1959-09,0.0
1959-10,11.567828
1959-11,35.686478
1959-12,100.083
1960-01,42.485245
1960-02,53.7748
1960-03,69.629295
1960-04,17.047129
1960-05,3.6717215
1960-06,0.0
1960-07,0.0
1960-08,0.0
1960-09,2.6680331
1960-10,5.926844
1960-11,105.73155
1960-12,122.85656
1961-01,58.099586
1961-02,104.20819
1961-03,87.562294
1961-04,45.528687
1961-05,2.9920082
1961-06,8.7479515
1961-07,0.0
1961-08,0.0
1961-09,1.3094262
1961-10,1.010041
1961-11,59.366806
1961-12,42.980736
1962-01,100.40696
1962-02,31.907375
1962-03,19.946722
1962-04,23.67418
1962-05,0.5081967
1962-06,0.0
1962-07,0.0
1962-08,0.0
1962-09,2.1516392
1962-10,0.36209014
1962-11,144.45493
1962-12,70.93156
1963-01,118.1748
1963-02,14.717213
1963-03,5.475819
1963-04,73.5
1963-05,2.9665983
1963-06,16.254097
1963-07,0.0
1963-08,0.0
1963-09,0.5163934
1963-10,30.574385
1963-11,38.98156
1963-12,93.33032
1964-01,79.774185
1964-02,22.653278
1964-03,7.0194674
1964-04,7.6905737
1964-05,0.019057378
1964-06,0.0
1964-07,0.0
1964-08,0.0
1964-09,0.0
1964-10,24.075819
1964-11,66.338104
1964-12,101.97603
1965-01,41.735657
1965-02,14.372951
1965-03,0.29856557
1965-04,11.409837
1965-05,1.3594263
1965-06,0.0
1965-07,0.0
1965-08,0.0
1965-09,0.3504098
1965-10,2.407582
1965-11,61.395493
1965-12,9.979713
1966-01,67.51394
1966-02,175.08606
1966-03,17.736065
1966-04,5.3114758
1966-05,6.003073
1966-06,0.0
1966-07,0.0
1966-08,0.0
1966-09,3.3872948
1966-10,10.1448765
1966-11,48.78688
1966-12,152.01434
1967-01,204.94939
1967-02,155.63524
1967-03,6.56209
1967-04,46.46926
1967-05,0.0
1967-06,0.0
1967-07,0.0
1967-08,0.0
1967-09,1.1065574
1967-10,18.4666
1967-11,62.059433
1967-12,20.715368
1968-01,47.55451
1968-02,69.73668
1968-03,22.424181
1968-04,41.883194
1968-05,39.81086
1968-06,0.0
1968-07,0.0
1968-08,0.0
1968-09,0.006147541
1968-10,4.846926
1968-11,61.370903
1968-12,82.14365
1969-01,23.186476
1969-02,75.51967
1969-03,198.21577
1969-04,43.094265
1969-05,4.681762
1969-06,0.0
1969-07,0.0
1969-08,0.0
1969-09,40.272537
1969-10,67.77438
1969-11,68.391396
1969-12,107.058
1970-01,1.4991803
1970-02,74.1082
1970-03,17.62172
1970-04,37.98566
1970-05,0.0
1970-06,9.854508
1970-07,0.0
