months,princeston_precip
1948-01,78.12254
1948-02,21.714344
1948-03,74.99078
1948-04,44.99385
1948-05,17.926641
1948-06,0.0
1948-07,0.0
1948-08,0.0
1948-09,0.64549184
1948-10,77.93198
1948-11,94.02049
1948-12,4.846926
1949-01,86.67296
1949-02,38.04672
1949-03,21.915985
1949-04,6.6700826
1949-05,0.9465164
1949-06,0.0
1949-07,0.0
1949-08,0.0
1949-09,0.0
1949-10,9.6875
1949-11,38.151638
1949-12,129.84425
1950-01,79.659836
1950-02,33.03771
1950-03,50.190777
1950-04,56.29918
1950-05,25.85451
1950-06,0.0
1950-07,0.0
1950-08,0.0
1950-09,10.186476
1950-10,17.98381
1950-11,27.989754
1950-12,149.2129
1951-01,61.90471
1951-02,49.18361
1951-03,113.72171
1951-04,62.63115
1951-05,29.818441
1951-06,0.0
1951-07,0.0
1951-08,0.0
1951-09,4.52459
1951-10,50.00656
1951-11,27.479506
1951-12,21.757172
1952-01,25.359016
1952-02,93.358604
1952-03,58.366394
1952-04,6.9959016
1952-05,24.469673
1952-06,0.0
1952-07,0.0
1952-08,0.0
1952-09,1.4815573
1952-10,42.16762
1952-11,95.71721
1952-12,95.23606
1953-01,20.886885
1953-02,80.91312
1953-03,104.580536
1953-04,33.461067
1953-05,1.1815574
1953-06,0.0
1953-07,0.0
1953-08,0.0
1953-09,5.1823773
1953-10,17.227869
1953-11,59.4959
1953-12,59.43996
1954-01,93.42561
1954-02,89.72049
1954-03,89.56967
1954-04,74.040985
1954-05,0.54631144
1954-06,0.0
1954-07,0.0
1954-08,0.0
1954-09,15.258197
1954-10,0.0
1954-11,30.639343
1954-12,95.77602
1955-01,179.15204
1955-02,162.7672
1955-03,20.188114
1955-04,9.09836
1955-05,12.361886
1955-06,0.0
1955-07,0.0
1955-08,0.0
1955-09,0.20286885
1955-10,29.183195
1955-11,49.456966
1955-12,100.64836
1956-01,105.10779
1956-02,158.16887
1956-03,62.539963
1956-04,1.3709016
1956-05,11.618647
1956-06,0.0
1956-07,0.0
1956-08,0.0
1956-09,3.7008195
1956-10,31.81947
1956-11,31.586067
1956-12,66.94857
1957-01,29.73586
1957-02,79.04262
1957-03,107.96003
1957-04,13.838115
1957-05,1.5182377
1957-06,0.0
1957-07,0.0
1957-08,0.0
1957-09,51.307373
1957-10,37.58115
1957-11,91.56763
1957-12,85.25
1958-01,92.05348
1958-02,86.01967
1958-03,73.36455
1958-04,48.1291
1958-05,0.11434426
1958-06,0.0
1958-07,0.0
1958-08,0.0
1958-09,12.461065
1958-10,66.25615
1958-11,53.864754
1958-12,95.10902
1959-01,111.92399
1959-02,42.50492
1959-03,28.039753
1959-04,27.915983
1959-05,22.405125
1959-06,0.0
1959-07,0.0
1959-08,0.0
1959-09,0.0
1959-10,15.893853
1959-11,25.825819
1959-12,109.980125
1960-01,42.485245
1960-02,35.305122
1960-03,71.90983
1960-04,20.563524
1960-05,7.229098
1960-06,0.0
1960-07,0.0
1960-08,0.0
1960-09,0.3012295
1960-10,21.00123
1960-11,137.25615
1960-12,118.289154
1961-01,37.231762
1961-02,70.4705
1961-03,71.52234
