months,princeston_precip
1948-01,83.966805
1948-02,20.121721
1948-03,77.63975
1948-04,46.32172
1948-05,20.099182
1948-06,0.0
1948-07,0.0
1948-08,0.0
1948-09,0.89754105
1948-10,90.37644
1948-11,101.415985
1948-12,6.0411882
1949-01,102.40798
1949-02,41.816395
1949-03,22.341599
1949-04,7.075819
1949-05,1.092623
1949-06,0.8483607
1949-07,0.0
1949-08,0.0
1949-09,0.0
1949-10,11.180327
1949-11,48.22746
1949-12,139.3539
1950-01,69.063934
1950-02,28.849178
1950-03,39.772747
1950-04,46.98565
1950-05,20.264345
1950-06,0.0
1950-07,0.0
1950-08,0.0
1950-09,5.6803284
1950-10,22.96414
1950-11,29.508198
1950-12,160.6092
1951-01,67.43135
1951-02,50.0959
1951-03,104.91721
1951-04,65.68648
1951-05,35.08463
1951-06,0.0
1951-07,0.0
1951-08,0.0
1951-09,4.8565574
1951-10,52.452255
1951-11,27.67008
1951-12,24.844467
1952-01,29.208607
1952-02,100.454094
1952-03,60.685043
1952-04,6.2827864
1952-05,28.223976
1952-06,0.0
1952-07,0.0
1952-08,0.0
1952-09,0.36885244
1952-10,45.165985
1952-11,105.20288
1952-12,111.1998
1953-01,27.080534
1953-02,82.23279
1953-03,108.906555
1953-04,24.288937
1953-05,1.5245903
1953-06,0.0
1953-07,0.0
1953-08,0.0
1953-09,6.0676227
1953-10,20.772541
1953-11,68.13935
1953-12,44.87377
1954-01,102.22377
1954-02,97.08197
1954-03,71.53504
1954-04,81.3627
1954-05,0.6543033
1954-06,0.0
1954-07,0.0
1954-08,0.0
1954-09,6.006147
1954-10,36.91414
1954-11,39.14754
1954-12,98.98402
1955-01,191.25984
1955-02,190.27376
1955-03,17.983812
1955-04,13.395492
1955-05,7.667418
1955-06,0.0
1955-07,0.0
1955-08,0.0
1955-09,0.20286883
1955-10,36.463116
1955-11,49.7459
1955-12,113.66456
1956-01,112.12724
1956-02,165.98338
1956-03,49.37131
1956-04,0.64549184
1956-05,15.951025
1956-06,0.0
1956-07,0.0
1956-08,0.0
1956-09,5.514344
1956-10,40.090366
1956-11,39.72541
1956-12,84.3416
1957-01,29.157787
1957-02,87.8959
1957-03,112.42583
1957-04,15.325821
1957-05,1.5690575
1957-06,9.313525
1957-07,0.0
1957-08,0.0
1957-09,49.95491
1957-10,48.024586
1957-11,101.99386
1957-12,78.99283
1958-01,112.71168
1958-02,88.71639
1958-03,57.451645
1958-04,52.647545
1958-05,0.0
1958-06,0.0
1958-07,0.0
1958-08,0.0
1958-09,17.93238
1958-10,83.3252
1958-11,67.6291
1958-12,118.759224
1959-01,101.15655
1959-02,43.044262
1959-03,34.33504
1959-04,30.805326
1959-05,26.362705
1959-06,0.0
1959-07,0.0
1959-08,0.0
1959-09,0.036885247
1959-10,17.818647
1959-11,29.643444
1959-12,127.0873
1960-01,46.201435
1960-02,25.232378
1960-03,70.86168
1960-04,20.950819
1960-05,11.383606
1960-06,0.0
1960-07,0.0
1960-08,0.0
1960-09,0.22131148
1960-10,24.634836
1960-11,154.9795
1960-12,145.13463
1961-01,36.26619
1961-02,58.145905
1961-03,63.18156
1961-04,88.96107
1961-05,49.669876
1961-06,0.0
1961-07,0.0
1961-08,0.0
1961-09,0.05532787
1961-10,7.298975
1961-11,68.821724
1961-12,23.31988
1962-01,73.36455
1962-02,29.308199
1962-03,35.77705
1962-04,58.91189
1962-05,1.384836
1962-06,0.0
1962-07,0.0
1962-08,0.0
1962-09,17.336065
1962-10,11.358197
1962-11,94.88115
1962-12,37.454094
1963-01,77.61435
1963-02,12.456557
1963-03,43.41271
1963-04,38.286884
1963-05,22.544876
1963-06,8.6495905
1963-07,0.0
1963-08,0.0
1963-09,0.0
1963-10,59.312916
1963-11,40.1373
1963-12,28.998976
1964-01,77.95102
1964-02,25.161064
1964-03,52.045696
1964-04,7.3463116
1964-05,0.14610656
1964-06,0.0
1964-07,0.0
1964-08,0.0
1964-09,0.0
1964-10,32.867626
1964-11,60.381145
1964-12,34.90676
1965-01,53.57664
1965-02,31.522953
1965-03,14.953688
1965-04,85.78278
1965-05,0.0
1965-06,0.0
1965-07,0.0
1965-08,0.0
1965-09,2.237705
1965-10,0.5526639
1965-11,34.776638
1965-12,21.191803
1966-01,84.163734
1966-02,176.54918
1966-03,1.8676229
1966-04,4.776639
1966-05,0.28586066
1966-06,0.0
1966-07,0.0
1966-08,0.0
1966-09,21.743853
1966-10,57.006966
1966-11,17.741804
1966-12,115.85615
1967-01,166.25656
1967-02,140.50493
1967-03,65.75431
1967-04,196.72748
1967-05,9.770082
1967-06,0.0
1967-07,0.0
1967-08,0.0
1967-09,1.5368853
1967-10,44.89283
1967-11,38.182373
1967-12,51.658195
1968-01,82.39774
1968-02,59.432175
1968-03,76.7377
1968-04,140.18854
1968-05,38.680126
1968-06,0.0
1968-07,0.0
1968-08,0.0
1968-09,0.4057377
1968-10,8.410655
1968-11,58.64139
1968-12,60.087906
1969-01,59.04611
1969-02,58.145905
1969-03,61.142418
1969-04,92.0164
1969-05,17.628075
1969-06,0.0
1969-07,0.0
1969-08,0.0
1969-09,3.3627048
1969-10,68.26352
1969-11,36.497955
1969-12,84.91967
1970-01,28.922747
1970-02,35.47049
1970-03,14.420082
1970-04,2.9446723
1970-05,1.7977458
1970-06,0.0
1970-07,0.0
1970-08,0.0
1970-09,11.176229
1970-10,28.738525
1970-11,67.16803
1970-12,88.29282
1971-01,91.98361
1971-02,86.7541
1971-03,56.47336
1971-04,48.104507
1971-05,9.484221
1971-06,0.0
1971-07,0.0
1971-08,0.0
1971-09,13.954918
1971-10,53.55123
1971-11,146.91394
1971-12,57.699383
1972-01,259.05328
1972-02,22.284836
1972-03,47.09078
1972-04,14.815575
1972-05,3.8686478
1972-06,0.0
1972-07,0.0
1972-08,0.0
1972-09,1.7704918
1972-10,13.378279
1972-11,13.893442
1972-12,92.498146
1973-01,105.62869
1973-02,101.07542
1973-03,20.626434
1973-04,58.586063
1973-05,0.21598361
1973-06,0.0
1973-07,0.0
1973-08,0.0
1973-09,17.69877
1973-10,80.295074
1973-11,37.125
1973-12,172.20882
1974-01,175.46129
1974-02,74.716385
1974-03,85.48505
1974-04,60.528687
1974-05,1.3721312
1974-06,0.0
1974-07,0.0
1974-08,0.0
1974-09,25.89959
1974-10,3.3731558
1974-11,189.31352
1974-12,87.975204
1975-01,100.02582
1975-02,81.60738
1975-03,145.94139
1975-04,114.66394
1975-05,35.05923
1975-06,0.0
1975-07,0.0
1975-08,0.0
1975-09,0.0
1975-10,19.374998
1975-11,23.625
1975-12,136.55879
1976-01,147.94241
1976-02,110.027664
1976-03,178.09755
1976-04,54.485657
1976-05,9.446106
1976-06,0.0
1976-07,0.0
1976-08,0.0
1976-09,77.66189
1976-10,62.667007
1976-11,76.13729
1976-12,57.870903
1977-01,148.13298
1977-02,84.6541
1977-03,163.4297
1977-04,15.559427
1977-05,1.1815574
1977-06,0.0
1977-07,0.0
1977-08,0.0
1977-09,65.09631
1977-10,19.03197
1977-11,16.161884
1977-12,117.3871
1978-01,357.68155
1978-02,76.46066
1978-03,65.0746
1978-04,22.875
1978-05,0.67971313
1978-06,0.0
1978-07,0.0
1978-08,0.0
1978-09,25.432379
1978-10,37.25717
1978-11,5.2807374
1978-12,43.539757
1979-01,53.106556
1979-02,26.47377
1979-03,1.4547131
1979-04,35.372955
1979-05,13.689549
1979-06,0.0
1979-07,0.0
1979-08,0.0
1979-09,48.590168
1979-10,83.74447
1979-11,86.17623
1979-12,97.3705
1980-01,132.43608
1980-02,83.9871
1980-03,36.01209
1980-04,15.190575
1980-05,0.06987705
1980-06,0.0
1980-07,0.0
1980-08,0.0
1980-09,74.01025
1980-10,11.072335
1980-11,74.14549
1980-12,60.367416
1981-01,138.65512
1981-02,110.99016
1981-03,113.14365
1981-04,8.643443
1981-05,0.0
1981-06,0.0
1981-07,0.0
1981-08,0.0
1981-09,2.8094263
1981-10,19.959427
1981-11,53.754105
1981-12,69.21004
1982-01,88.72479
1982-02,13.368853
1982-03,25.073156
1982-04,32.895493
1982-05,0.22868851
1982-06,0.0
1982-07,0.0
1982-08,0.0
1982-09,0.53483605
1982-10,134.04959
1982-11,68.33607
1982-12,16.40205
1983-01,43.514347
1983-02,50.53197
1983-03,10.011476
1983-04,3.0184426
1983-05,6.0030737
1983-06,0.0
1983-07,0.0
1983-08,0.0
1983-09,0.7131148
1983-10,29.34836
1983-11,26.096312
1983-12,82.26434
1984-01,51.12459
1984-02,9.264548
1984-03,64.356766
1984-04,2.3360655
1984-05,0.97827864
1984-06,0.0
1984-07,0.0
1984-08,0.0
1984-09,3.1967213
1984-10,55.368034
1984-11,27.04918
1984-12,13.422745
1985-01,59.941803
1985-02,30.771309
1985-03,27.645905
1985-04,0.0
1985-05,0.9020492
1985-06,0.0
1985-07,0.0
1985-08,0.0
1985-09,3.4487703
1985-10,20.89959
1985-11,5.2499995
1985-12,42.90451
1986-01,32.149796
1986-02,27.655739
1986-03,31.33033
1986-04,30.596312
1986-05,0.0
1986-06,0.0
1986-07,0.0
