months,princeston_precip
1948-01,162.55943
1948-02,305.56372
1948-03,157.71887
1948-04,34.561474
1948-05,0.0
1948-06,0.0
1948-07,0.0
1948-08,0.0
1948-09,0.0
1948-10,8.499591
1948-11,41.95082
1948-12,29.958199
1949-01,58.995285
1949-02,15.22213
1949-03,117.5205
1949-04,0.61475414
1949-05,0.0
1949-06,0.0
1949-07,0.0
1949-08,0.0
1949-09,0.0
1949-10,2.1915984
1949-11,42.98361
1949-12,124.02541
1950-01,178.84077
1950-02,136.38525
1950-03,43.7875
1950-04,30.264345
1950-05,0.0
1950-06,0.0
1950-07,0.0
1950-08,0.0
1950-09,0.0
1950-10,0.019057376
1950-11,22.125002
1950-12,153.18956
1951-01,106.78484
1951-02,67.48114
1951-03,54.56127
1951-04,31.432377
1951-05,8.239139
1951-06,0.0
1951-07,0.0
1951-08,0.0
1951-09,0.0
1951-10,60.056145
1951-11,25.432379
1951-12,111.40306
1952-01,108.214134
1952-02,168.98444
1952-03,3.4430327
1952-04,0.0
1952-05,0.0
1952-06,0.0
1952-07,0.0
1952-08,0.0
1952-09,0.0
1952-10,28.185863
1952-11,67.23566
1952-12,88.00697
1953-01,133.94162
1953-02,144.7623
1953-03,102.38893
1953-04,47.010242
1953-05,0.0
1953-06,0.0
1953-07,0.0
1953-08,0.0
1953-09,0.0
1953-10,13.105124
1953-11,75.872955
1953-12,159.17357
1954-01,117.34262
1954-02,115.80411
1954-03,120.14406
1954-04,12.307377
1954-05,0.0
1954-06,0.0
1954-07,0.0
1954-08,0.0
1954-09,0.0
1954-10,7.965984
1954-11,28.493853
1954-12,201.9129
1955-01,160.27254
1955-02,190.4115
1955-03,163.23279
1955-04,30.639343
1955-05,0.0
1955-06,0.0
1955-07,0.0
1955-08,0.0
1955-09,0.0
1955-10,19.108196
1955-11,36.049183
1955-12,129.9332
1956-01,67.66639
1956-02,226.35452
1956-03,22.881557
1956-04,17.096313
1956-05,0.0
1956-06,0.0
1956-07,0.0
1956-08,0.0
1956-09,15.903688
1956-10,3.6018443
1956-11,60.92828
1956-12,90.91639
1957-01,91.0498
1957-02,145.70326
1957-03,97.2498
1957-04,5.7418036
1957-05,0.0
1957-06,0.0
1957-07,0.0
1957-08,0.0
1957-09,2.096311
1957-10,43.31742
1957-11,66.0
1957-12,94.645294
1958-01,186.46373
1958-02,183.27376
1958-03,69.64201
1958-04,17.95082
1958-05,0.0
1958-06,0.0
1958-07,0.0
1958-08,0.0
1958-09,9.762294
1958-10,13.009837
1958-11,37.56762
1958-12,173.75244
1959-01,223.17456
1959-02,116.22869
1959-03,96.74795
