months,princeston_precip
1948-01,35.192623
1948-02,43.589138
1948-03,20.505733
1948-04,41.698772
1948-05,5.0375004
1948-06,0.0
1948-07,0.0
1948-08,0.0
1948-09,0.0
1948-10,15.277664
1948-11,34.561474
1948-12,2.4584017
1949-01,17.805943
1949-02,17.832787
1949-03,11.326435
1949-04,7.5553274
1949-05,0.10799181
1949-06,10.081966
1949-07,0.0
1949-08,0.0
1949-09,0.0
1949-10,9.020493
1949-11,6.0061474
1949-12,63.4166
1950-01,69.55942
1950-02,60.06804
1950-03,91.29754
1950-04,96.09222
1950-05,43.393646
1950-06,19.223362
1950-07,0.0
1950-08,4.96127
1950-09,14.05328
1950-10,0.0
1950-11,12.694672
1950-12,72.659424
1951-01,26.762909
1951-02,26.611475
1951-03,77.13792
1951-04,0.0
1951-05,31.133404
1951-06,0.29508197
1951-07,0.0
1951-08,0.0
1951-09,0.0
1951-10,41.062294
1951-11,19.622952
1951-12,8.785451
1952-01,13.410042
1952-02,60.22254
1952-03,11.370901
1952-04,10.911885
1952-05,4.205328
1952-06,5.8217216
1952-07,0.0
1952-08,0.0
1952-09,1.7028688
1952-10,16.795902
1952-11,24.049183
1952-12,33.60451
1953-01,6.809836
1953-02,60.194263
1953-03,35.0084
1953-04,85.23566
1953-05,0.26680326
1953-06,0.0
1953-07,0.0
1953-08,0.0
1953-09,0.012295083
1953-10,3.6399589
1953-11,8.004098
1953-12,81.52111
1954-01,28.954506
1954-02,51.52459
1954-03,128.7834
1954-04,31.844263
1954-05,2.4647539
1954-06,6.129099
1954-07,0.0
1954-08,0.0
1954-09,23.80328
1954-10,0.0
1954-11,5.077869
1954-12,65.05553
1955-01,64.50922
1955-02,40.731968
1955-03,39.715576
1955-04,14.643443
1955-05,59.31926
1955-06,10.702869
1955-07,0.0
1955-08,0.0
1955-09,0.36885247
1955-10,0.0
1955-11,43.844265
1955-12,44.098774
1956-01,23.523157
1956-02,110.90122
1956-03,99.384224
1956-04,4.6413937
1956-05,0.67336065
1956-06,0.0
1956-07,0.0
1956-08,0.0
1956-09,0.20901638
1956-10,3.544672
1956-11,4.481557
1956-12,6.3334017
1957-01,38.877052
1957-02,29.262297
1957-03,8.334426
1957-04,19.069674
1957-05,12.438113
1957-06,14.508197
1957-07,0.0
1957-08,0.0
1957-09,33.22746
1957-10,3.9448774
1957-11,16.094261
1957-12,74.673164
1958-01,36.939552
1958-02,35.32705
1958-03,108.25225
1958-04,36.977463
1958-05,8.525001
1958-06,0.0
1958-07,0.0
1958-08,0.0
1958-09,3.7254097
1958-10,5.024795
1958-11,6.049181
1958-12,17.52008
1959-01,39.251846
1959-02,45.241802
1959-03,15.766804
1959-04,15.657786
1959-05,18.358606
1959-06,0.6393442
1959-07,0.0
1959-08,0.0
1959-09,0.0
1959-10,0.0
1959-11,13.081967
1959-12,64.29959
1960-01,15.442828
1960-02,29.653687
1960-03,48.87582
1960-04,23.901638
1960-05,12.609632
1960-06,7.727458
1960-07,0.0
1960-08,0.0
1960-09,0.33811474
1960-10,0.84487706
1960-11,37.69672
1960-12,35.37049
1961-01,63.524586
1961-02,11.297541
1961-03,173.91763
1961-04,46.72131
1961-05,14.820287
1961-06,32.32992
1961-07,0.0
1961-08,0.0
1961-09,0.16598362
1961-10,0.0
1961-11,64.690575
1961-12,13.206762
1962-01,14.458198
1962-02,65.09426
1962-03,35.395905
1962-04,16.297132
1962-05,0.0
1962-06,0.0
1962-07,0.0
1962-08,0.0
1962-09,2.1516392
1962-10,2.3059425
1962-11,44.76639
1962-12,18.606352
1963-01,71.63032
1963-02,6.7762294
1963-03,65.100006
1963-04,33.29508
1963-05,39.664753
1963-06,24.02459
1963-07,0.0
1963-08,0.0
1963-09,0.0
1963-10,27.245697
1963-11,62.858604
1963-12,14.858402
1964-01,1.6325821
1964-02,17.10881
1964-03,40.99242
