months,princeston_precip
1948-01,76.02623
1948-02,62.213326
1948-03,42.18033
1948-04,40.088116
1948-05,16.179714
1948-06,0.0
1948-07,0.0
1948-08,0.0
1948-09,0.1045082
1948-10,46.887497
1948-11,38.557377
1948-12,5.539344
1949-01,44.232174
1949-02,17.259016
1949-03,42.847336
1949-04,17.059427
1949-05,0.025409836
1949-06,0.0
1949-07,0.0
1949-08,0.0
1949-09,0.0
1949-10,13.7657795
1949-11,9.510245
1949-12,68.600204
1950-01,84.23995
1950-02,81.24591
1950-03,104.40903
1950-04,80.92623
1950-05,44.670494
1950-06,0.0
1950-07,0.0
1950-08,0.0
1950-09,6.092213
1950-10,0.0
1950-11,13.032787
1950-12,65.875
1951-01,55.51414
1951-02,52.964752
1951-03,64.490166
1951-04,74.60656
1951-05,26.381762
1951-06,0.0
1951-07,0.0
1951-08,0.0
1951-09,2.3483608
1951-10,35.03381
1951-11,36.030735
1951-12,9.026845
1952-01,21.22992
1952-02,115.09078
1952-03,12.21578
1952-04,8.145492
1952-05,1.8104509
1952-06,0.0
1952-07,0.0
1952-08,0.0
1952-09,1.9795083
1952-10,31.711477
1952-11,22.684427
1952-12,43.933605
1953-01,33.03914
1953-02,80.310646
1953-03,42.364548
1953-04,74.18852
1953-05,3.4176228
1953-06,0.0
1953-07,0.0
1953-08,0.0
1953-09,0.024590164
1953-10,14.05164
1953-11,28.045082
1953-12,70.79816
1954-01,66.70717
1954-02,44.478687
1954-03,148.12029
1954-04,36.836067
1954-05,1.1116803
1954-06,0.0
1954-07,0.0
1954-08,0.0
1954-09,8.729508
1954-10,0.0
1954-11,9.590164
1954-12,58.91906
1955-01,97.662704
1955-02,68.829506
1955-03,42.21844
1955-04,29.50205
1955-05,28.554304
1955-06,0.0
1955-07,0.0
1955-08,0.0
1955-09,0.0
1955-10,0.0
1955-11,38.40369
1955-12,55.164753
1956-01,19.476639
1956-02,125.09222
1956-03,78.63074
1956-04,7.2356553
1956-05,3.7860653
1956-06,0.0
1956-07,0.0
1956-08,0.0
1956-09,0.024590164
1956-10,4.6690574
1956-11,18.577871
1956-12,15.595286
1957-01,36.050205
1957-02,38.798363
1957-03,26.026026
1957-04,15.627049
1957-05,6.6319675
1957-06,0.0
1957-07,0.0
1957-08,0.0
1957-09,18.854511
1957-10,8.01045
1957-11,27.793032
1957-12,56.111267
1958-01,79.98381
1958-02,44.031147
1958-03,95.274185
1958-04,33.620903
1958-05,1.3721312
1958-06,0.0
1958-07,0.0
1958-08,0.0
1958-09,2.2622952
1958-10,4.840574
1958-11,11.637294
1958-12,40.509632
1959-01,56.91803
1959-02,27.030329
1959-03,18.39672
1959-04,6.663935
1959-05,6.3651633
1959-06,0.0
1959-07,0.0
1959-08,0.0
1959-09,0.0
1959-10,0.0
1959-11,18.405737
1959-12,34.722538
1960-01,46.538116
1960-02,59.961067
1960-03,74.88279
1960-04,22.715162
1960-05,1.1942624
1960-06,0.0
1960-07,0.0
1960-08,0.0
1960-09,0.59631145
1960-10,0.0
1960-11,46.309425
1960-12,37.663727
1961-01,28.509836
1961-02,54.823772
1961-03,104.91086
1961-04,52.893448
1961-05,11.383606
1961-06,0.0
1961-07,0.0
1961-08,0.0
1961-09,0.0
1961-10,0.0
1961-11,120.20287
1961-12,3.4684424
1962-01,14.127869
1962-02,38.104095
1962-03,45.407375
1962-04,4.5307374
1962-05,0.019057376
1962-06,0.0
1962-07,0.0
1962-08,0.0
1962-09,2.2745903
1962-10,6.009426
1962-11,24.866802
1962-12,23.09754
1963-01,150.15942
1963-02,35.080326
1963-03,53.57664
1963-04,46.985653
1963-05,27.887293
1963-06,0.0
1963-07,0.0
1963-08,0.0
1963-09,0.0
1963-10,26.807375
1963-11,41.02254
1963-12,28.427256
1964-01,18.873156
1964-02,6.828074
1964-03,20.689959
1964-04,4.1864753
1964-05,0.0
1964-06,0.0
1964-07,0.0
1964-08,0.0
1964-09,0.0
1964-10,27.59508
1964-11,7.444672
1964-12,25.339958
1965-01,30.961885
1965-02,8.606557
1965-03,16.719673
1965-04,44.969265
1965-05,0.0
1965-06,0.0
1965-07,0.0
1965-08,0.0
1965-09,3.9836066
1965-10,2.6489756
1965-11,17.963114
1965-12,30.155127
1966-01,89.83647
1966-02,171.55737
1966-03,0.48913935
1966-04,43.026638
1966-05,0.04446721
1966-06,0.0
1966-07,0.0
1966-08,0.0
1966-09,16.063524
1966-10,0.0
1966-11,3.6086068
1966-12,29.354713
1967-01,171.3449
1967-02,81.940155
1967-03,17.424795
1967-04,96.80533
1967-05,20.607378
1967-06,0.0
1967-07,0.0
1967-08,0.0
1967-09,0.33196723
1967-10,7.28627
1967-11,32.44058
1967-12,26.337296
1968-01,13.778482
1968-02,25.892006
1968-03,170.14426
1968-04,22.14959
1968-05,35.79611
1968-06,0.0
1968-07,0.0
1968-08,0.0
1968-09,0.0
1968-10,6.1745896
1968-11,14.102458
1968-12,20.48668
1969-01,87.96886
1969-02,98.69426
1969-03,19.857788
1969-04,14.342213
1969-05,8.632992
1969-06,0.0
1969-07,0.0
1969-08,0.0
1969-09,0.1045082
1969-10,26.222952
1969-11,44.532787
1969-12,16.834015
1970-01,42.83463
1970-02,45.55164
1970-03,3.5764344
1970-04,15.454916
1970-05,1.1942623
1970-06,0.0
